HOSPCODE|HID|HOUSE_ID|HOUSETYPE|ROOMNO|CONDO|HOUSE|SOISUB|SOIMAIN|ROAD|VILLANAME|VILLAGE|TAMBON|AMPUR|CHANGWAT|TELEPHONE|LATITUDE|LONGITUDE|NFAMILY|LOCATYPE|VHVID|HEADID|TOILET|WATER|WATERTYPE|GARBAGE|HOUSING|DURABILITY|CLEANLINESS|VENTILATION|LIGHT|WATERTM|MFOOD|BCONTROL|ACONTROL|CHEMICAL|OUTDATE|D_UPDATE
07522|1|5602008103|0|||5|||||01|07|02|56||||1||000263|000000||||||||||||||||20101009000000
07522|2|5602023488|0|||61/2|||||01|07|02|56||||1||000560|000000||||||||||||||||20101009000000
07522|3||0|||52/1|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|4|5602008154|0|||52|||||01|07|02|56||||1||000569|000000||||||||||||||||20101009000000
07522|5|5602023043|0|||51/1|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|6|5602008153|0|||51|||||01|07|02|56||||1||000888|000000||||||||||||||||20101009000000
07522|8|5602008155|0|||53|||||01|07|02|56||||1||000569|000030||||||||||||||||20130516084302
07522|9|5602022888|1|||5/1|||||01|07|02|56||||1|2|000000|000033||||||||||||||||20130923132108
07522|10|5602008156|0|||54|||||01|07|02|56||||1|2|000569|000039||||||||||||||||20120902115106
07522|11||0|||49/1|||||01|07|02|56||||1||000199|000000||||||||||||||||20101009000000
07522|12|5602008151|0|||49|||||01|07|02|56||||1||000569|000000||||||||||||||||20101009000000
07522|13|5602022525|0|||48/2|||||01|07|02|56||||1||000888|000052||||||||||||||||20101009000000
07522|14|5602022026|0|||48/1|||||01|07|02|56||||1||000569|000056||||||||||||||||20101009000000
07522|15|5602008150|0|||48|||||01|07|02|56||||1||000147|000000||||||||||||||||20101009000000
07522|16||0|||47/2|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|17|5602008149|0|||47/1|||||01|07|02|56||||1||000965|000000||||||||||||||||20101009000000
07522|18|5602008152|0|||50|||||01|07|02|56||||1||000569|000000||||||||||||||||20101009000000
07522|19|5602008011|0|||58/1|||||01|07|02|56||||1||000199|000000||||||||||||||||20101009000000
07522|20|5602008132|0|||31|||||01|07|02|56||||1||000147|000000||||||||||||||||20101009000000
07522|21||0|||61|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|23|5602008162|0|||60|||||01|07|02|56||||1||000199|000000||||||||||||||||20101009000000
07522|24||0|||6/6|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|25|5602008105|0|||6/1|||||01|07|02|56||||1||001009|000000||||||||||||||||20101009000000
07522|27||0|||58/2|||||01|07|02|56||||1||000199|000000||||||||||||||||20101009000000
07522|28|5602008146|0|||45|||||01|07|02|56||||1||000000|000104||||||||||||||||20131018100318
07522|29|5602008160|0|||58|||||01|07|02|56||||1||000419|000000||||||||||||||||20101009000000
07522|31|5602023876|0|||57|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|32|5602008159|0|||56|||||01|07|02|56||||1||000660|000000||||||||||||||||20101009000000
07522|33|5602008158|0|||55|||||01|07|02|56||||1||000569|000117||||||||||||||||20101009000000
07522|34|5602025321|0|||54/2|||||01|07|02|56||||1||000199|000000||||||||||||||||20101009000000
07522|36|5602008161|0|||59|||||01|07|02|56||||1||000199|000000||||||||||||||||20101009000000
07522|37|5602008135|0|||34|||||01|07|02|56||||1||000127|000000||||||||||||||||20101009000000
07522|38|5602025694|0|||38/1|||||01|07|02|56||||1||000849|000000||||||||||||||||20101009000000
07522|39|5602008139|0|||38|||||01|07|02|56||||1||000569|000000||||||||||||||||20101009000000
07522|40|5602008138|0|||37|||||01|07|02|56||||1||000487|000000||||||||||||||||20101009000000
07522|41||0|||36/1|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|42|5602025459|0|||36|||||01|07|02|56||||1||000147|000146||||||||||||||||20111226110936
07522|43|56020307603|0|||35/2|||||01|07|02|56||||1||000000|000150||||||||||||||||20101009000000
07522|44|5602001848|0|||47|||||01|07|02|56||||1||000423|000000||||||||||||||||20101009000000
07522|45|5602008136|0|||35|||||01|07|02|56||||1||000837|000000||||||||||||||||20101009000000
07522|46|5602021072|0|||39/1|||||01|07|02|56||||1||000569|000000||||||||||||||||20101009000000
07522|48|5602008134|0|||33|||||01|07|02|56||||1||000560|000000||||||||||||||||20101009000000
07522|49||0|||32/1|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|50|5602008133|0|||32|||||01|07|02|56||||1||000849|000000||||||||||||||||20101009000000
07522|51|5602023765|0|||31/3|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|52|5602021671|0|||31/2|||||01|07|02|56||||1||000849|000000||||||||||||||||20101009000000
07522|53|5602900172|0|||31/1|||||01|07|02|56||||1||000487|000177||||||||||||||||20101009000000
07522|54||0|||35/1|||||01|07|02|56||||1||000837|000000||||||||||||||||20101009000000
07522|55|5602023596|0|||42/1|||||01|07|02|56||||1||000263|000190||||||||||||||||20101009000000
07522|56|5602008164|0|||62|||||01|07|02|56||||1||000147|000000||||||||||||||||20101009000000
07522|57|5602022050|0|||44/3|||||01|07|02|56||||1||000199|000198||||||||||||||||20101009000000
07522|58|5602021717|0|||44/2|||||01|07|02|56||||1||000888|000203||||||||||||||||20121020102512
07522|59|5602021090|0|||44/1|||||01|07|02|56||||1||000147|000000||||||||||||||||20101009000000
07522|60|5602008145|0|||44|||||01|07|02|56||||1||000199|000000||||||||||||||||20101009000000
07522|61|5602021060|0|||43/3|||||01|07|02|56||||1||000888|000000||||||||||||||||20101009000000
07522|62|5602020325|0|||43/2|||||01|07|02|56||||1||000147|000000||||||||||||||||20101009000000
07522|64||0|||42/2|||||01|07|02|56||||1||000560|000000||||||||||||||||20101009000000
07522|65|5602008140|0|||39|||||01|07|02|56||||1||000569|000000||||||||||||||||20101009000000
07522|66|5602008143|0|||42|||||01|07|02|56||||1||000199|000233||||||||||||||||20101009000000
07522|67|5602008142|1|||41|||||01|07|02|56||||1|2|000000|000236||||||||||||||||20140129100612
07522|68|5602008141|0|||40|||||01|07|02|56||||1||000569|000000||||||||||||||||20101009000000
07522|69|5602021424|0|||4/2|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|70|5602020452|0|||4/1|||||01|07|02|56||||1||000849|000246||||||||||||||||20130219093454
07522|71|5602008102|0|||4|||||01|07|02|56||||1||000849|000000||||||||||||||||20101009000000
07522|72|5602008147|0|||46|||||01|07|02|56||||1||000560|000252||||||||||||||||20101009000000
07522|73|5602008144|0|||43|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|74||0|||85/2|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|75|5602012444|0|||61/1|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|76||0|||88/1|||||01|07|02|56||||1||000263|000000||||||||||||||||20101009000000
07522|77||0|||88|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|78||0|||87|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|79||0|||86/3|||||01|07|02|56||||1||000789|000000||||||||||||||||20101009000000
07522|80||0|||86/2|||||01|07|02|56||||1||000789|000000||||||||||||||||20101009000000
07522|81||0|||89|||||01|07|02|56||||1||000364|000000||||||||||||||||20101009000000
07522|82||0|||86|||||01|07|02|56||||1||000509|000000||||||||||||||||20101009000000
07522|83|5602022829|0|||9|||||01|07|02|56||||1||000263|000000||||||||||||||||20101009000000
07522|84||0|||85/1|||||01|07|02|56||||1||001009|000000||||||||||||||||20101009000000
07522|85||0|||85|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|87||0|||84/1|||||01|07|02|56||||1||000789|000000||||||||||||||||20101009000000
07522|88||0|||84|||||01|07|02|56||||1||000789|000000||||||||||||||||20101009000000
07522|89||0|||83|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|90||0|||82|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|91||0|||86/1|||||01|07|02|56||||1||000000|000321||||||||||||||||20101009000000
07522|92||0|||94|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|94||0|||99|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|95||0|||9809|||||01|07|02|56||||1||000888|000000||||||||||||||||20101009000000
07522|96||0|||98/1|||||01|07|02|56||||1||000487|000000||||||||||||||||20101009000000
07522|97||0|||98|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|98||0|||97|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|99||0|||88/2|||||01|07|02|56||||1||000263|000000||||||||||||||||20101009000000
07522|100||0|||95|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|101|5602022885|0|||8/2|||||01|07|02|56||||1||000147|000000||||||||||||||||20101009000000
07522|102||0|||93/2|||||01|07|02|56||||1||000364|000000||||||||||||||||20101009000000
07522|103||0|||93/1|||||01|07|02|56||||1||000364|000000||||||||||||||||20101009000000
07522|104||0|||93|||||01|07|02|56||||1||001009|000370||||||||||||||||20110119101939
07522|105||0|||92|||||01|07|02|56||||1||000423|000000||||||||||||||||20101009000000
07522|106||0|||91|||||01|07|02|56||||1||000419|000000||||||||||||||||20101009000000
07522|108||0|||90|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|109||0|||96|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|110|5602008170|0|||68|||||01|07|02|56||||1||000423|000000||||||||||||||||20101009000000
07522|111||0|||70/2|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|112|5602008174|0|||70/1|||||01|07|02|56||||1||000509|000000||||||||||||||||20101009000000
07522|113|5602008173|0|||70|||||01|07|02|56||||1||000509|000000||||||||||||||||20101009000000
07522|114||0|||7/2|||||01|07|02|56||||1||000423|000000||||||||||||||||20101009000000
07522|115|5602021210|0|||7/1|||||01|07|02|56||||1||000849|000000||||||||||||||||20101009000000
07522|116|5602008107|0|||7|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|117||0|||81|||||01|07|02|56||||1||000509|000000||||||||||||||||20101009000000
07522|118|5602008171|0|||68/1|||||01|07|02|56||||1||000509|000000||||||||||||||||20101009000000
07522|119||0|||72/1|||||01|07|02|56||||1||000419|000420||||||||||||||||20101009000000
07522|120|5602008169|0|||67|||||01|07|02|56||||1||000423|000000||||||||||||||||20101009000000
07522|121|5602022093|0|||66/1|||||01|07|02|56||||1||000419|000000||||||||||||||||20101009000000
07522|122|5602008168|0|||66|||||01|07|02|56||||1||000419|000000||||||||||||||||20101009000000
07522|123|5602008167|0|||65|||||01|07|02|56||||1||000419|000000||||||||||||||||20101009000000
07522|124||0|||64/1|||||01|07|02|56||||1||000888|000441||||||||||||||||20101009000000
07522|125|5602008166|0|||64|||||01|07|02|56||||1||000888|000445||||||||||||||||20101009000000
07522|126|5602008165|0|||63|||||01|07|02|56||||1||000837|000448||||||||||||||||20101009000000
07522|127|5602008772|0|||69|||||01|07|02|56||||1||000423|000452||||||||||||||||20101009000000
07522|128|5602008181|0|||75|||||01|07|02|56||||1||000423|000454||||||||||||||||20101009000000
07522|129|5602025500|0|||6|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|130|5602013412|0|||8/1|||||01|07|02|56||||1||001009|000460||||||||||||||||20101009000000
07522|131|5602023695|0|||8|||||01|07|02|56||||1||000888|000470||||||||||||||||20101009000000
07522|132||0|||79|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|133||0|||78/2|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|134||0|||78|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|135||0|||77/1|||||01|07|02|56||||1||000487|000000||||||||||||||||20101009000000
07522|136|5602008175|0|||71|||||01|07|02|56||||1||000000|000492||||||||||||||||20101009000000
07522|137|5602008182|0|||76|||||01|07|02|56||||1||000127|000000||||||||||||||||20101009000000
07522|138|5602022942|0|||72|||||01|07|02|56||||1||000419|000000||||||||||||||||20101009000000
07522|140||0|||74/2|||||01|07|02|56||||1||000509|000000||||||||||||||||20101009000000
07522|141|5602008180|0|||74/1|||||01|07|02|56||||1||000419|000000||||||||||||||||20101009000000
07522|142|5602008179|0|||74|||||01|07|02|56||||1||000419|000503||||||||||||||||20101009000000
07522|143|5602003178|1|||73/1|||||01|07|02|56||||1|2|000509|000508||||||||||||||||20131007110425
07522|144||0|||73|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|145||1|||80|||||01|07|02|56||||1|2|000789|000514||||||||||||||||20140115110858
07522|146|5602023590|0|||76/1|||||01|07|02|56||||1||000127|000000||||||||||||||||20101009000000
07522|147||0|||118/1|||||01|07|02|56||||1||000127|000000||||||||||||||||20101009000000
07522|148||0|||123|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|149||0|||120|||||01|07|02|56||||1||000888|000531||||||||||||||||20101009000000
07522|150|5602021089|0|||12/2|||||01|07|02|56||||1||000364|000000||||||||||||||||20101009000000
07522|151|5602022146|0|||12/1|||||01|07|02|56||||1||000920|000000||||||||||||||||20101009000000
07522|152|5602008112|0|||12|||||01|07|02|56||||1||000364|000540||||||||||||||||20101009000000
07522|153||0|||119/2|||||01|07|02|56||||1||000920|000546||||||||||||||||20101009000000
07522|154||0|||114/1|||||01|07|02|56||||1||000660|000000||||||||||||||||20101009000000
07522|155||0|||119|||||01|07|02|56||||1||000000|000552||||||||||||||||20101009000000
07522|156||0|||125|||||01|07|02|56||||1||000487|000000||||||||||||||||20101009000000
07522|157||0|||118|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|158||0|||117/2|||||01|07|02|56||||1||000560|000000||||||||||||||||20101009000000
07522|159||0|||117/1|||||01|07|02|56||||1||000888|000000||||||||||||||||20101009000000
07522|160||0|||117|||||01|07|02|56||||1||000569|000568||||||||||||||||20130128152945
07522|161|5602012416|0|||116|||||01|07|02|56||||1||001009|000000||||||||||||||||20101009000000
07522|162||0|||115/1|||||01|07|02|56||||1||000965|000000||||||||||||||||20101009000000
07522|163||0|||134|||||01|07|02|56||||1||000263|000584||||||||||||||||20101009000000
07522|164||0|||119/1|||||01|07|02|56||||1||000920|000586||||||||||||||||20101009000000
07522|165||0|||128/3|||||01|07|02|56||||1||000920|000000||||||||||||||||20101009000000
07522|167||0|||132|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|168||0|||131|||||01|07|02|56||||1||000000|000595||||||||||||||||20101009000000
07522|169||0|||130|||||01|07|02|56||||1||000509|000000||||||||||||||||20101009000000
07522|170||0|||13/2|||||01|07|02|56||||1||000875|000602||||||||||||||||20101009000000
07522|171|5602023694|0|||13/1|||||01|07|02|56||||1||000263|000606||||||||||||||||20101009000000
07522|172|5602008113|0|||13|||||01|07|02|56||||1||000875|000610||||||||||||||||20101009000000
07522|173||0|||124|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|174||0|||129|||||01|07|02|56||||1||000127|000000||||||||||||||||20101009000000
07522|176||0|||128/2|||||01|07|02|56||||1||000920|000000||||||||||||||||20101009000000
07522|177||0|||128/1|||||01|07|02|56||||1||000660|000000||||||||||||||||20101009000000
07522|178||0|||128|||||01|07|02|56||||1||000965|000632||||||||||||||||20101009000000
07522|179||0|||127/1|||||01|07|02|56||||1||000000|000636||||||||||||||||20101009000000
07522|180||0|||127|||||01|07|02|56||||1||000000|000641||||||||||||||||20101009000000
07522|181|5602008235|0|||126|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|182||0|||114|||||01|07|02|56||||1||000965|000000||||||||||||||||20101009000000
07522|183||0|||129/1|||||01|07|02|56||||1||000000|000650||||||||||||||||20101009000000
07522|184|5602024835|0|||30/2|||||01|07|02|56||||1||000849|000651||||||||||||||||20101009000000
07522|187||0|||106/1|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|188||0|||106|||||01|07|02|56||||1||000487|000000||||||||||||||||20101009000000
07522|189||0|||105|||||01|07|02|56||||1||000660|000000||||||||||||||||20101009000000
07522|191|5602008226|0|||115|||||01|07|02|56||||1||000789|000000||||||||||||||||20101009000000
07522|192||0|||103|||||01|07|02|56||||1||000660|000673||||||||||||||||20121219114111
07522|193|56020208338|1|||108/2|||||01|07|02|56||||1|2|000789|000676||||||||||||||||20131008145252
07522|194||0|||101|||||01|07|02|56||||1||000000|000680||||||||||||||||20101009000000
07522|195|5602008106|0|||6/2|||||01|07|02|56||||1||000423|000000||||||||||||||||20101009000000
07522|196|5602008110|0|||10|||||01|07|02|56||||1||000000|000685||||||||||||||||20101009000000
07522|197|5602020902|0|||1/1|||||01|07|02|56||||1||000423|000698||||||||||||||||20110830130610
07522|198|5602008090|0|||1|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|199||0|||01|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|200||0|||0|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|201||0|||104|||||01|07|02|56||||1||000364|000000||||||||||||||||20101009000000
07522|202||0|||111/1|||||01|07|02|56||||1||000199|000000||||||||||||||||20101009000000
07522|203||0|||113/6|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|204||0|||113/5|||||01|07|02|56||||1||000487|000000||||||||||||||||20101009000000
07522|205||0|||113/4|||||01|07|02|56||||1||000487|000000||||||||||||||||20101009000000
07522|206||0|||113/3|||||01|07|02|56||||1||000127|000739||||||||||||||||20121005090833
07522|207||0|||113/2|||||01|07|02|56||||1||000127|000000||||||||||||||||20101009000000
07522|208||0|||113/1|||||01|07|02|56||||1||000000|000000||||||||||||||||20101009000000
07522|209||0|||113|||||01|07|02|56||||1||000127|000000||||||||||||||||20101009000000
07522|210||0|||108|||||01|07|02|56||||1||000127|000000||||||||||||||||20101009000000
07522|211||0|||111/3|||||01|07|02|56||||1||000920|000000||||||||||||||||20101009000000
07522|212||0|||108/1|||||01|07|02|56||||1||000789|000768||||||||||||||||20101009000000
07522|213||0|||111|||||01|07|02|56||||1||000263|000771||||||||||||||||20101009000000
07522|214||0|||110|||||01|07|02|56||||1||000000|000772||||||||||||||||20101009000000
07522|215||0|||109/1|||||01|07|02|56||||1||000660|000000||||||||||||||||20101009000000
07522|216||0|||109|||||01|07|02|56||||1||000660|000000||||||||||||||||20101009000000
